LC_UNQ,USE_NAME,perLC25E,LC25,LC25_name,LC32,LC32_name,perLC32E,LC5,LC5_name,LC3,LC3_name,LC4,LC4_name,LC2,LC2_name,LC_crops,LC_crops_name,Stability,Description
0, ------,,99, ------,99, ------,,99, ------,99, ------,99, ------,99, ------,99, ------,0, ------ (this is just a placeholder for pixels not yet inspected)
1,NoVeg,,99,unknown,99,unknown,,10,NoVeg,98,nocrop,98,nocrop,98,nocrop,98,Not crop,10,"nonvegetated area (unkown if water, bare or built)"
2,NoVeg_Bare,0.0032,2,NoVeg_Bare,2,NoVeg_Bare,0.0032,10,NoVeg,98,nocrop,98,nocrop,98,nocrop,98,Not crop,3,Bare soil/rock/sand throughout the year (NOT part of crop cycle)
3,NoVeg_Built,0.0055,3,NoVeg_Built,3,NoVeg_Built,0.0055,10,NoVeg,98,nocrop,98,nocrop,98,nocrop,98,Not crop,10,
7,NoVeg_Water,0.031,7,NoVeg_Water,7,NoVeg_Water,0.031,10,NoVeg,98,nocrop,98,nocrop,98,nocrop,98,Not crop,10,
9,Mixed-path,0.011,9,Mixed-path,9,Mixed-path,0.011,10,NoVeg,98,nocrop,98,nocrop,98,nocrop,98,Not crop,5,>30% NoVeg_bare/built and >30% LowVeg (and not built or New_plant) 
10,Cleared,0.003,10,Cleared,10,Cleared,0.003,20,LowVeg,98,nocrop,98,nocrop,98,nocrop,98,Not crop,1,"Med/High vegetation has been cleared witin the year, but no other land use is evident"
11,TreePlant-new,0.001,11,NewPlant,11,NewPlant,0.001,20,LowVeg,98,nocrop,98,nocrop,98,nocrop,98,Not crop,0,Planted trees (tree plantation or orchard) <1 year
12,Grassland-Natural,0.091,12,Grassland-Natural,12,Grassland-Natural,0.091,20,LowVeg,98,nocrop,98,nocrop,98,nocrop,98,Not crop,10,"natural grassland, dry year-round, <30% tree cover"
13,Grassland-Managed,0.119,13,Grassland-Managed,13,Grassland-Managed,0.119,20,LowVeg,98,nocrop,98,nocrop,98,nocrop,98,Not crop,5,"planted grass or managed pasture,  <30% tree cover"
15,Grassland,,99,unknown,99,unknown,,20,LowVeg,98,nocrop,98,nocrop,98,nocrop,98,Not crop,5,"grass,  <30% tree cover -- unknown if planted or natural"
